"","Row","Study_No","Arm_No","No of arms","StudyID","Study_year","Year","Drug","Dose_intended_min","Dose_intended_max","Dosing_schedule","Dose_delivered_mean","Dose_range","Sponsored by this drug company or author employed by the drug company","Investigational_Comparator","No_randomised","Dropouts_total","Dropouts_sideeffects","N compimputed","Mean","SD","Responders","N comp+imputed","Unpublished","No_of_arms","Recruitment","RCT_type1","RCT_type2","RCT_type3","Treatment_setting","Diagnostic_criteria","Patient_status","Scale_for_threshold","Threshold_score","Placebo_run_in","Length of randomised comparison in wks","Rescue medications","Sequence_generation","Allocation_concealment","Blinding_participant","Blinding_therapist","Blinding_assessor","Unpublished_data","Selective_reporting_bias","Attrition_bias_by_study_for_respnse","Overall_study_RoB","Age_mean","%_Female","Imputation","Scale","Mean__1","Unpublished__1","No_of_arms__1","Recruitment__1","RCT_type1__1","RCT_type2__1","RCT_type3__1","Treatment_setting__1","Diagnostic_criteria__1","Patient_status__1","Scale_for_threshold__1","Threshold_score__1","Placebo_run_in__1","Length of randomised comparison in wks__1","Rescue medications__1","Sequence_generation__1","Allocation_concealment__1","Blinding_participant__1","Blinding_therapist__1","Blinding_assessor__1","Unpublished_data__1","Selective_reporting_bias__1","Attrition_bias_by_study_for_respnse__1","Overall_study_RoB__1"
"125","b19",56,2,3,"Reimherr1998 (WELL203, FDA203)",1991,"1998","bupropion",150,150,"Fixed",150,"Extremely low","Yes","Investigational",121,55,10,120,-10.18,7.66,55,120,NA,3,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-III-R","Outpatients only","HAMD17","20","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias",NA,"Moderate risk","38.299999999999997",NA,"Others","HAMD17",23.1,NA,3,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-III-R","Outpatients only","HAMD17","20","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias",NA,"Moderate risk"
"126","b20",56,3,3,"Reimherr1998 (WELL203, FDA203)",1991,"1998","bupropion",300,300,"Fixed",300,"Licensed","Yes","Investigational",120,53,13,113,-10.18,8.07,52,113,"Yes",3,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-III-R","Outpatients only","HAMD17","20","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias",NA,"Moderate risk","38.6",NA,"Others","HAMD17",23.41,"Yes",3,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-III-R","Outpatients only","HAMD17","20","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias",NA,"Moderate risk"
"171","b65",77,1,3,"WELL 029",1984,"unpublished","bupropion",150,150,"Fixed",150,"Extremely low","Yes","Investigational",28,15,NA,21,16.1,8.03,7,21,"Yes",3,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting",NA,"Inpatients only","HAMDunspecified","18","Unclear",4,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Unclear risk of bias","high","High risk","42.8","50","Others","HAMD21",25.5,"Yes",3,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting",NA,"Inpatients only","HAMDunspecified","18","Unclear",4,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Unclear risk of bias","high","High risk"
"172","b66",77,2,3,"WELL 029",1984,"unpublished","bupropion",300,300,"Fixed",300,"Licensed","Yes","Investigational",25,16,NA,21,15.5,8.03,8,21,"Yes",3,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting",NA,"Inpatients only","HAMDunspecified","18","Unclear",4,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Unclear risk of bias","high","High risk","37.799999999999997","0.44","Others","HAMD21",26.6,"Yes",3,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting",NA,"Inpatients only","HAMDunspecified","18","Unclear",4,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Unclear risk of bias","high","High risk"
"173","b67",77,3,3,"WELL 029",1984,"unpublished","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",24,14,NA,18,15.2,8.03,7,18,"Yes",3,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting",NA,"Inpatients only","HAMDunspecified","18","Unclear",4,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Unclear risk of bias","high","Moderate risk","41.5","0.5","Others","HAMD21",26.2,"Yes",3,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting",NA,"Inpatients only","HAMDunspecified","18","Unclear",4,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Unclear risk of bias","high","Moderate risk"
"174","b68",78,1,3,"Wellbutrin 25",1985,"unpublished","bupropion",300,300,"Fixed",300,"Licensed","Yes","Investigational",45,22,4,34,16.1,7.9,17,34,"Yes",3,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting",NA,"Inpatients only","HAMD21","18","Unclear",4,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","high","High risk","52.4","0.486486486","Others","HAMD21",32.4,"Yes",3,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting",NA,"Inpatients only","HAMD21","18","Unclear",4,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","high","High risk"
"175","b69",78,2,3,"Wellbutrin 25",1985,"unpublished","bupropion",450,450,"Fixed",450,"Licensed","Yes","Investigational",40,24,7,36,15.1,10.5,21,36,"Yes",3,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting",NA,"Inpatients only","HAMD21","18","Unclear",4,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","high","High risk","47.5","0.5","Others","HAMD21",34.8,"Yes",3,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting",NA,"Inpatients only","HAMD21","18","Unclear",4,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","high","High risk"
"176","b70",78,3,3,"Wellbutrin 25",1985,"unpublished","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",43,24,0,39,20.5,11.6,14,39,"Yes",3,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting",NA,"Inpatients only","HAMD21","18","Unclear",4,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","high","Moderate risk","51.9","0.51282051299999998","Others","HAMD21",33.6,"Yes",3,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting",NA,"Inpatients only","HAMD21","18","Unclear",4,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","high","Moderate risk"
"177","b71",79,1,5,"Study 205 (FDA) (WELL 205)",1993,"unpublished","bupropion",100,100,"Fixed",100,"Extremely low","Yes","Investigational",119,38,2,112,-10.5,8.01,57,112,"Yes",5,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","Other operationalized","Outpatients only","HAMD17","20","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias",NA,"Moderate risk","39.6","67","Others","HAMD17",23.6,"Yes",5,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","Other operationalized","Outpatients only","HAMD17","20","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias",NA,"Moderate risk"
"178","b72",79,2,5,"Study 205 (FDA) (WELL 205)",1993,"unpublished","bupropion",200,200,"Fixed",200,"Low","Yes","Investigational",120,42,9,114,-9.6,8.01,45,114,"Yes",5,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","Other operationalized","Outpatients only","HAMD17","20","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias",NA,"Moderate risk","39.6","0.56521739100000001","Others","HAMD17",23.2,"Yes",5,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","Other operationalized","Outpatients only","HAMD17","20","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias",NA,"Moderate risk"
"179","b73",79,3,5,"Study 205 (FDA) (WELL 205)",1993,"unpublished","bupropion",300,300,"Fixed",300,"Licensed","Yes","Investigational",120,51,13,111,-9,8.38,43,111,"Yes",5,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","Other operationalized","Outpatients only","HAMD17","20","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias",NA,"Moderate risk","39.9","0.61946902699999995","Others","HAMD17",23.6,"Yes",5,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","Other operationalized","Outpatients only","HAMD17","20","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias",NA,"Moderate risk"
"180","b74",79,4,5,"Study 205 (FDA) (WELL 205)",1993,"unpublished","bupropion",400,400,"Fixed",400,"Licensed","Yes","Investigational",119,43,12,111,-9.3,7.25,47,111,"Yes",5,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","Other operationalized","Outpatients only","HAMD17","20","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias",NA,"Moderate risk","38.799999999999997","0.57894736800000002","Others","HAMD17",24.2,"Yes",5,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","Other operationalized","Outpatients only","HAMD17","20","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias",NA,"Moderate risk"
"181","b75",79,5,5,"Study 205 (FDA) (WELL 205)",1993,"unpublished","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",124,39,7,116,-8.3,7.88,38,116,"Yes",5,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","Other operationalized","Outpatients only","HAMD17","20","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias",NA,"Moderate risk","40.700000000000003","0.67796610199999996","Others","HAMD17",23.4,"Yes",5,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","Other operationalized","Outpatients only","HAMD17","20","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias",NA,"Moderate risk"
"185","b79",81,1,2,"WELL AK140016",2001,"unpublished","bupropion",300,300,"Fixed",300,"Licensed","Yes","Investigational",69,14,8,66,10.4,6.8,35,66,"Yes",2,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Other/Unclear/Not stated",NA,NA,"Unclear",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","Low risk of bias","unclear","Moderate risk","37.6",NA,"Others","HAMD17",21.9,"Yes",2,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Other/Unclear/Not stated",NA,NA,"Unclear",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","Low risk of bias","unclear","Moderate risk"
"186","b80",81,2,2,"WELL AK140016",2001,"unpublished","paroxetine",20,20,"Fixed",20,"Licensed","No","Comparator",71,18,5,66,10.3,7.3,36,66,"Yes",2,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Other/Unclear/Not stated",NA,NA,"Unclear",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","Low risk of bias","unclear","Moderate risk","37",NA,"Others","HAMD17",22.3,"Yes",2,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Other/Unclear/Not stated",NA,NA,"Unclear",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","Low risk of bias","unclear","Moderate risk"
"189","b83",83,1,3,"Koshino2013 (NCT01138007)",2012,"2013","bupropion",150,150,"Fixed",150,"Extremely low","Yes","Investigational",190,NA,12,190,-14.4,10.61,98,190,"Yes",3,"Asia","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Other/Unclear/Not stated","HAMD17","20","Unclear",8,"Unclear","Unclear risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Low risk of bias","Low risk of bias",NA,"Moderate risk","36","52","LOCF","MADRS",31.8,"Yes",3,"Asia","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Other/Unclear/Not stated","HAMD17","20","Unclear",8,"Unclear","Unclear risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Low risk of bias","Low risk of bias",NA,"Moderate risk"
"190","b84",83,2,3,"Koshino2013 (NCT01138007)",2012,"2013","bupropion",300,300,"Fixed",300,"Licensed","Yes","Investigational",192,NA,9,188,-12.9,10.42,82,188,"Yes",3,"Asia","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Other/Unclear/Not stated","HAMD17","20","Unclear",8,"Unclear","Unclear risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Low risk of bias","Low risk of bias",NA,"Moderate risk","37.5","0.56000000000000005","LOCF","MADRS",32.1,"Yes",3,"Asia","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Other/Unclear/Not stated","HAMD17","20","Unclear",8,"Unclear","Unclear risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Low risk of bias","Low risk of bias",NA,"Moderate risk"
"191","b85",83,3,3,"Koshino2013 (NCT01138007)",2012,"2013","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",187,NA,4,186,-13.9,10.5,86,186,"Yes",3,"Asia","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Other/Unclear/Not stated","HAMD17","20","Unclear",8,"Unclear","Unclear risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Low risk of bias","Low risk of bias",NA,"Low risk","37.9","0.54","LOCF","MADRS",31.9,"Yes",3,"Asia","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Other/Unclear/Not stated","HAMD17","20","Unclear",8,"Unclear","Unclear risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Low risk of bias","Low risk of bias",NA,"Low risk"
"194","c03",85,1,3,"Study 89306 (FDA)",NA,"unpublished","citalopram",20,20,"Fixed",20,"Licensed","Yes","Investigational",88,23,NA,88,-17.94,12.91,48,88,"Yes",3,NA,"Parallel","Individual randomised","Multi-center","Both","DSM-III-R","Both","MADRS","22","Yes",6,"Yes","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","Unclear risk of bias","unclear","Moderate risk",NA,NA,"Others","MADRS",32.7,"Yes",3,NA,"Parallel","Individual randomised","Multi-center","Both","DSM-III-R","Both","MADRS","22","Yes",6,"Yes","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","Unclear risk of bias","unclear","Moderate risk"
